symbol,timestamp,open,high,low,close,volume,last_updated
BNBUSDT,2026-06-29T00:59:59.999000+00:00,551.07000000,553.09000000,546.67000000,552.84000000,3164.29200000,2026-08-04T23:16:05.032385+00:00
BNBUSDT,2026-06-29T01:59:59.999000+00:00,552.83000000,553.07000000,549.64000000,552.27000000,2362.64800000,2026-08-04T23:16:05.032428+00:00
BNBUSDT,2026-06-29T02:59:59.999000+00:00,552.28000000,554.80000000,547.42000000,553.78000000,3297.47000000,2026-08-04T23:16:05.032471+00:00
BNBUSDT,2026-06-29T03:59:59.999000+00:00,553.78000000,556.69000000,553.55000000,555.19000000,4093.21800000,2026-08-04T23:16:05.032513+00:00
BNBUSDT,2026-06-29T04:59:59.999000+00:00,555.20000000,555.26000000,550.91000000,551.33000000,2640.21200000,2026-08-04T23:16:05.032556+00:00
BNBUSDT,2026-06-29T05:59:59.999000+00:00,551.33000000,553.33000000,548.37000000,553.33000000,3819.27900000,2026-08-04T23:16:05.032625+00:00
BNBUSDT,2026-06-29T06:59:59.999000+00:00,553.33000000,555.53000000,553.01000000,554.00000000,4337.85700000,2026-08-04T23:16:05.032665+00:00
BNBUSDT,2026-06-29T07:59:59.999000+00:00,554.00000000,554.66000000,552.73000000,553.60000000,3558.86300000,2026-08-04T23:16:05.032704+00:00
BNBUSDT,2026-06-29T08:59:59.999000+00:00,553.60000000,554.48000000,551.52000000,552.94000000,4013.76200000,2026-08-04T23:16:05.032744+00:00
BNBUSDT,2026-06-29T09:59:59.999000+00:00,552.95000000,554.62000000,552.32000000,553.60000000,5032.16300000,2026-08-04T23:16:05.032784+00:00
BNBUSDT,2026-06-29T10:59:59.999000+00:00,553.59000000,555.78000000,553.51000000,553.80000000,3512.01300000,2026-08-04T23:16:05.032823+00:00
BNBUSDT,2026-06-29T11:59:59.999000+00:00,553.81000000,554.69000000,550.51000000,551.87000000,3898.73400000,2026-08-04T23:16:05.032861+00:00
BNBUSDT,2026-06-29T12:59:59.999000+00:00,551.86000000,558.42000000,549.68000000,553.30000000,7307.81300000,2026-08-04T23:16:05.032900+00:00
BNBUSDT,2026-06-29T13:59:59.999000+00:00,553.30000000,555.94000000,549.00000000,550.70000000,7584.57400000,2026-08-04T23:16:05.032938+00:00
BNBUSDT,2026-06-29T14:59:59.999000+00:00,550.71000000,552.04000000,546.17000000,550.98000000,7730.21100000,2026-08-04T23:16:05.032977+00:00
BNBUSDT,2026-06-29T15:59:59.999000+00:00,551.00000000,552.62000000,547.50000000,551.97000000,4146.02300000,2026-08-04T23:16:05.033016+00:00
